"time","coolingLoad","n","Mode","CT_c","CHP_c","CP_c","Chiller_c","Tset","Twb","valveOpen","Val9","Val10","StoragePumpSignal"
6870,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6900,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6930,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6960,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6990,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
7020,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
7050,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
7080,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
7110,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
7140,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
7170,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
7200,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
